Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
11/15 22:00:00,4.080908836,1.370628667,0.6950895897,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.479283349,9.83E-02,0.2632988343,0.5146657369,0.6596369249
11/15 23:00:00,3.320672272,1.099746063,0.5834674485,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.3555973235,7.29E-02,0.2107599786,0.4453772388,0.5527877105
11/16 1059624:00:00,2.569514158,0.8407610703,0.4648635753,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2473720511,5.07E-02,0.1405510376,0.3870245333,0.4382034539
11/16 1:00:00,1.804324115,0.5813618216,0.3393637324,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1288396099,2.64E-02,9.09E-02,0.3201282398,0.3173117511
11/16 2:00:00,1.48887877,0.4796501103,0.2824788137,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.73E-02,1.59E-02,7.67E-02,0.2947537836,0.2621747477
11/16 3:00:00,1.364838842,0.4326159224,0.267375333,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,6.41E-02,0.2913363484,0.2473066764
11/16 4:00:00,1.351834288,0.4212788511,0.2720688816,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,5.69E-02,0.2872354262,0.2522827164
11/16 5:00:00,1.607626679,0.4230228933,0.3956679106,0.00E+00,7.86E-02,0.00E+00,2.18E-03,2.18E-03,2.18E-03,5.15E-02,1.06E-02,6.73E-02,0.2763850696,0.2980588416
11/16 6:00:00,2.166163896,0.4748447156,0.6234162467,0.00E+00,0.1074809072,0.00E+00,2.98E-03,2.98E-03,2.98E-03,5.67E-02,1.16E-02,8.00E-02,0.3084235243,0.4946896357
11/16 7:00:00,2.977742569,0.6231838602,0.885498591,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.1337537194,0.3563530526,0.8609512694
11/16 8:00:00,3.62772785,0.8648588682,0.984584259,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1906826227,3.91E-02,0.2113385113,0.3786518171,0.9585008907
11/16 9:00:00,3.526212009,0.8314496337,0.9502198674,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1855290383,3.81E-02,0.272663513,0.3201282398,0.9281678862
11/16 10:00:00,3.180936945,0.7457800939,0.8616098941,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.103071688,2.11E-02,0.3340373517,0.2724550191,0.8428418748
11/16 11:00:00,2.991339631,0.748327827,0.7644842007,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3488093121,0.2788627101,0.7452747887
11/16 12:00:00,2.847141542,0.7645382238,0.6761777018,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3649342731,0.2789481459,0.6569624045
11/16 13:00:00,2.683289895,0.7506784757,0.6079497827,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3557734983,0.2742491726,0.5890581734
11/16 14:00:00,2.554489052,0.7263409609,0.5682135065,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3219526009,0.2837325552,0.548668636
11/16 15:00:00,2.477908781,0.7295031785,0.5273114227,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.2967170257,0.2997090646,0.506666013
11/16 16:00:00,2.643415533,0.8059223293,0.5342194586,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1391467787,2.85E-02,0.3067911011,0.3163690611,0.5124264278
11/16 17:00:00,3.233547111,1.050928762,0.5862709677,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2525256355,5.18E-02,0.3573234763,0.3742091514,0.5604936317
11/16 18:00:00,4.262584889,1.458205407,0.6962822149,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.4483617761,9.20E-02,0.4482008871,0.4546043138,0.6649668713
11/16 19:00:00,4.864668279,1.679839446,0.7920317169,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.6132765433,0.1257890469,0.4021357452,0.4935630748,0.7580327055
11/16 20:00:00,4.734607649,1.583572451,0.8088157122,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.6132765433,0.1257890469,0.3199777004,0.5094541483,0.7737220468
11/16 21:00:00,4.469796571,1.50596796,0.7546179008,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.5668942838,0.1162755927,0.280754568,0.5269685036,0.7183177619
11/16 22:00:00,4.063601075,1.370628667,0.6864357088,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.479283349,9.83E-02,0.2632988343,0.5146657369,0.650983044
11/16 23:00:00,3.304383612,1.099746063,0.5753231182,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.3555973235,7.29E-02,0.2107599786,0.4453772388,0.5446433802
11/17 1059648:00:00,2.556886312,0.8407610703,0.4585496525,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2473720511,5.07E-02,0.1405510376,0.3870245333,0.4318895311
11/17 1:00:00,1.792095163,0.5813618216,0.3332492568,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1288396099,2.64E-02,9.09E-02,0.3201282398,0.3111972755
11/17 2:00:00,1.47865376,0.4796501103,0.277366309,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.73E-02,1.59E-02,7.67E-02,0.2947537836,0.257062243
11/17 3:00:00,1.357886899,0.4326159224,0.2638993612,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,6.41E-02,0.2913363484,0.2438307046
11/17 4:00:00,1.346555934,0.4212788511,0.2694297046,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,5.69E-02,0.2872354262,0.2496435394
11/17 5:00:00,1.43604847,0.4208434815,0.3142376297,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-02,1.06E-02,6.73E-02,0.2763850696,0.2951988895
11/17 6:00:00,1.93682862,0.4718633719,0.5147112963,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.67E-02,1.16E-02,8.00E-02,0.3084235243,0.4934655925
11/17 7:00:00,3.84304979,0.6345000017,1.295519919,0.00E+00,0.4079600582,0.00E+00,1.13E-02,1.13E-02,1.13E-02,9.79E-02,2.01E-02,0.1337537194,0.3563530526,0.8630125392
11/17 8:00:00,3.634250258,0.8648588682,0.9878454629,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1906826227,3.91E-02,0.2113385113,0.3786518171,0.9617620946
11/17 9:00:00,3.531473732,0.8314496337,0.9528507292,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1855290383,3.81E-02,0.272663513,0.3201282398,0.9307987479
11/17 10:00:00,3.185430515,0.7457800939,0.8638566792,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.103071688,2.11E-02,0.3340373517,0.2724550191,0.84508866
11/17 11:00:00,2.994577851,0.748327827,0.7661033107,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3488093121,0.2788627101,0.7468938987
11/17 12:00:00,2.84866695,0.7645382238,0.6769404059,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3649342731,0.2789481459,0.6577251086
11/17 13:00:00,2.682273565,0.7506784757,0.6074416173,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3557734983,0.2742491726,0.588550008
