Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/02 1:00:00,5.055063697,0.676647057,1.830742937,0.00E+00,1.465573154,0.00E+00,4.07E-02,4.07E-02,4.07E-02,0.128562513,2.64E-02,8.64E-02,0.37961819,0.339019846
01/02 2:00:00,5.677873112,0.580666237,2.224477861,0.00E+00,1.926828523,0.00E+00,5.34E-02,5.34E-02,5.34E-02,7.50E-02,1.54E-02,7.22E-02,0.349528357,0.273572134
01/02 3:00:00,6.300288807,0.548028166,2.558341417,0.00E+00,2.278686195,0.00E+00,6.32E-02,6.32E-02,6.32E-02,5.36E-02,1.10E-02,5.97E-02,0.345475855,0.255857174
01/02 4:00:00,6.840430682,0.543342411,2.82561924,0.00E+00,2.541192095,0.00E+00,7.05E-02,7.05E-02,7.05E-02,5.36E-02,1.10E-02,5.26E-02,0.340612851,0.260964085
01/02 5:00:00,7.617367629,0.549929301,3.198134457,0.00E+00,2.862512324,0.00E+00,7.94E-02,7.94E-02,7.94E-02,5.36E-02,1.10E-02,6.32E-02,0.327746155,0.313045392
01/02 6:00:00,8.67118156,0.60722257,3.662557225,0.00E+00,3.095809048,0.00E+00,8.59E-02,8.59E-02,8.59E-02,5.36E-02,1.10E-02,7.60E-02,0.365738368,0.541554349
01/02 7:00:00,12.68803929,0.838170502,5.405640347,0.00E+00,4.408557953,0.00E+00,0.122286151,0.122286151,0.122286151,0.123205778,2.53E-02,0.129758135,0.422574718,0.967973404
01/02 8:00:00,10.49405176,1.088067594,4.113761484,0.00E+00,2.998040844,0.00E+00,8.32E-02,8.32E-02,8.32E-02,0.251768291,5.16E-02,0.207406095,0.449017299,1.084790157
01/02 9:00:00,8.344097212,1.010625527,3.125378907,0.00E+00,2.04568755,0.00E+00,5.67E-02,5.67E-02,5.67E-02,0.241054754,4.94E-02,0.268690864,0.37961819,1.05354142
01/02 10:00:00,5.959932313,0.848218419,2.118922145,0.00E+00,1.137319883,0.00E+00,3.15E-02,3.15E-02,3.15E-02,0.123205778,2.53E-02,0.33003376,0.323085777,0.959346551
