Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/22  02:00:00,0.543025099118890,2.57087262474410,0.000000000000000E+000,2.28474204263225,0.000000000000000E+000,6.337498883195884E-002,6.337498883195884E-002,6.337498883195884E-002,7.730376596796329E-002,1.585575705959550E-002,7.666179158831476E-002,0.294753783611058,0.265826516100665 
 11/22  03:00:00,0.504117197963536,2.84816504463266,0.000000000000000E+000,2.57770412813958,0.000000000000000E+000,7.150127554213079E-002,7.150127554213079E-002,7.150127554213079E-002,5.153583732885577E-002,1.057050879820527E-002,6.409821579558966E-002,0.291336348438756,0.250392259942899 
 11/22  04:00:00,0.496636543657806,2.99137997294304,0.000000000000000E+000,2.71673244637698,0.000000000000000E+000,7.535769256917998E-002,7.535769256917998E-002,7.535769256917998E-002,5.153583732885577E-002,1.057050879820527E-002,5.686206666957333E-002,0.287235426231993,0.254861361369059 
 11/22  05:00:00,0.497314337132462,3.07649725240272,0.000000000000000E+000,2.75686326826140,0.000000000000000E+000,7.647085560521888E-002,7.647085560521888E-002,7.647085560521888E-002,5.153583732885577E-002,1.057050879820527E-002,6.727705378024802E-002,0.276385069559933,0.300595243983019 
 11/22  06:00:00,0.546548277131741,3.21592393279517,0.000000000000000E+000,2.69247768121102,0.000000000000000E+000,7.468490525103529E-002,7.468490525103529E-002,7.468490525103529E-002,5.668942837650642E-002,1.162755926884497E-002,8.004784787508873E-002,0.308423524300266,0.502200547728975 
 11/22  07:00:00,0.722538074301941,4.48447454680191,0.000000000000000E+000,3.58183495158667,0.000000000000000E+000,9.935421409464658E-002,9.935421409464658E-002,9.935421409464658E-002,9.791810355942018E-002,2.008397258151521E-002,0.133753719414558,0.356353052591803,0.878092273669546 
 11/22  08:00:00,0.936215407246554,3.57838089475095,0.000000000000000E+000,2.57248620896460,0.000000000000000E+000,7.135653904091112E-002,7.135653904091112E-002,7.135653904091112E-002,0.190682622720976,3.911088105302981E-002,0.211338511280563,0.378651817091075,0.979811317507649 
 11/22  09:00:00,0.899969671788028,3.44365053038661,0.000000000000000E+000,2.47022705122927,0.000000000000000E+000,6.852003808871801E-002,6.852003808871801E-002,6.852003808871801E-002,0.185529038323112,3.805383058239011E-002,0.272663512968407,0.320128239765401,0.951371497898248 
 11/22  10:00:00,0.809951008886839,3.19979265724022,0.000000000000000E+000,2.31343610556281,0.000000000000000E+000,6.417091497321924E-002,6.417091497321924E-002,6.417091497321924E-002,0.103071687957284,2.114102305215491E-002,0.334037351732395,0.272455019111786,0.867588532399232 
 11/22  11:00:00,0.834671877403712,3.90138286271193,0.000000000000000E+000,3.11280342184524,0.000000000000000E+000,8.634405040677867E-002,8.634405040677867E-002,8.634405040677867E-002,8.761093476369174E-002,1.796985800087490E-002,0.348809312112515,0.278862710059853,0.769370028849131 
 11/22  12:00:00,0.811757426286785,2.40381448770564,0.000000000000000E+000,1.70230715767311,0.000000000000000E+000,4.721920247145453E-002,4.721920247145453E-002,4.721920247145453E-002,8.761093476369174E-002,1.796985800087490E-002,0.364934273051607,0.278948145939160,0.682292032778467 
 11/22  13:00:00,0.767965982973656,1.25651225199182,0.000000000000000E+000,0.623234739899460,0.000000000000000E+000,1.728750727382414E-002,1.728750727382414E-002,1.728750727382414E-002,8.761093476369174E-002,1.796985800087490E-002,0.355773498298021,0.274249172577245,0.614385902847176 
 11/22  14:00:00,0.726803518085558,0.610887394648622,0.000000000000000E+000,1.667572442818279E-002,0.000000000000000E+000,4.625571857483470E-004,4.625571857483470E-004,4.625571857483470E-004,8.761093476369174E-002,1.796985800087490E-002,0.321952600894858,0.283732555180382,0.574666799720980 
 11/22  15:00:00,0.729503178495170,0.553737704930126,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,9.791810355942018E-002,2.008397258151521E-002,0.296717025683342,0.299709064610896,0.533092295200495 
 11/22  16:00:00,0.805922329279373,0.559700190595078,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.139146778742334,2.854037634663281E-002,0.306791101054537,0.316369061075869,0.537907159743075 
 11/22  17:00:00,1.05092876192309,0.612800656219560,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.252525635495347,5.179548670070621E-002,0.357323476299952,0.374209151367082,0.587023320240147 
 11/22  18:00:00,1.47697149966329,1.40100479685262,0.000000000000000E+000,0.676539452315801,0.000000000000000E+000,1.876609237929389E-002,1.876609237929389E-002,1.876609237929389E-002,0.448361776116323,9.196341822437572E-002,0.448200887087803,0.454604313795488,0.693150000987396 
 11/22  19:00:00,1.67983944625083,0.824346379902498,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.613276543345842,0.125789046924207,0.402135745161050,0.493563074759733,0.790347368497689 
 11/22  20:00:00,1.58441119714891,0.872317135299922,0.000000000000000E+000,3.023777237632133E-002,0.000000000000000E+000,8.387461038905240E-004,8.387461038905240E-004,8.387461038905240E-004,0.613276543345842,0.125789046924207,0.319977700404031,0.509454148310937,0.806985697525142 
 11/22  21:00:00,1.51406033888062,1.07743927175968,0.000000000000000E+000,0.291739667601575,0.000000000000000E+000,8.092378846755037E-003,8.092378846755037E-003,8.092378846755037E-003,0.566894283765064,0.116275592688450,0.280754567951364,0.526968503568985,0.749399465272023 
 11/22  22:00:00,1.38831207451857,1.35234008188965,0.000000000000000E+000,0.637507404252732,0.000000000000000E+000,1.768340752300456E-002,1.768340752300456E-002,1.768340752300456E-002,0.479283349001372,9.830573468757482E-002,0.263298834297921,0.514665736948699,0.679380012810437 
 11/22  23:00:00,1.13011644916363,1.69484180407129,0.000000000000000E+000,1.09488774682325,0.000000000000000E+000,3.037038642980888E-002,3.037038642980888E-002,3.037038642980888E-002,0.355597323452631,7.293650975286112E-002,0.210759978638061,0.445377238830273,0.569274319243311 
 11/22  24:00:00,0.884652118867237,2.05947324668582,0.000000000000000E+000,1.58232333963215,0.000000000000000E+000,4.389104857640854E-002,4.389104857640854E-002,4.389104857640854E-002,0.247372051097483,5.073843623006651E-002,0.140551037640066,0.387024533263215,0.450489785595507 
 11/23  01:00:00,0.641236504443915,2.50467682153365,0.000000000000000E+000,2.15855194295478,0.000000000000000E+000,5.987468288558160E-002,5.987468288558160E-002,5.987468288558160E-002,0.128839609946605,2.642627540535341E-002,9.089268438097377E-002,0.320128239765401,0.324072897319774 
 11/23  02:00:00,0.547508025526526,2.73272779173078,0.000000000000000E+000,2.44635675257266,0.000000000000000E+000,6.785791523959542E-002,6.785791523959542E-002,6.785791523959542E-002,7.730376596796329E-002,1.585575705959550E-002,7.666179158831476E-002,0.294753783611058,0.266066973146942 
 11/23  03:00:00,0.508949488039165,3.02254444768935,0.000000000000000E+000,2.75191380456661,0.000000000000000E+000,7.633356561775918E-002,7.633356561775918E-002,7.633356561775918E-002,5.153583732885577E-002,1.057050879820527E-002,6.409821579558966E-002,0.291336348438756,0.250561986572565 
 11/23  04:00:00,0.507854268199103,3.39598156052249,0.000000000000000E+000,3.12114446055699,0.000000000000000E+000,8.657541711047662E-002,8.657541711047662E-002,8.657541711047662E-002,5.153583732885577E-002,1.057050879820527E-002,5.686206666957333E-002,0.287235426231993,0.255050934768506 
 11/23  05:00:00,0.510454078157916,3.55058700030852,0.000000000000000E+000,3.23056621170107,0.000000000000000E+000,8.961059663067274E-002,8.961059663067274E-002,8.961059663067274E-002,5.153583732885577E-002,1.057050879820527E-002,6.727705378024802E-002,0.276385069559933,0.300982048449157 
 11/23  06:00:00,0.563730257872398,3.83657697317340,0.000000000000000E+000,3.31190806687886,0.000000000000000E+000,9.186688599169193E-002,9.186688599169193E-002,9.186688599169193E-002,5.668942837650642E-002,1.162755926884497E-002,8.004784787508873E-002,0.308423524300266,0.503423202439356 
 11/23  07:00:00,0.713177132378880,4.14979418184683,0.000000000000000E+000,3.24436210994300,0.000000000000000E+000,8.999327217158515E-002,8.999327217158515E-002,8.999327217158515E-002,9.791810355942018E-002,2.008397258151521E-002,0.133753719414558,0.356353052591803,0.880884750358142 
 11/23  08:00:00,0.950517315769233,4.09724305983710,0.000000000000000E+000,3.08808664209900,0.000000000000000E+000,8.565844756359044E-002,8.565844756359044E-002,8.565844756359044E-002,0.190682622720976,3.911088105302981E-002,0.211338511280563,0.378651817091075,0.983073049459377 
 11/23  09:00:00,0.910129199545974,3.81308786164760,0.000000000000000E+000,2.83648984085142,0.000000000000000E+000,7.867956584666315E-002,7.867956584666315E-002,7.867956584666315E-002,0.185529038323112,3.805383058239011E-002,0.272663512968407,0.320128239765401,0.954546039537054 
