Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,4,5,0,0.00E+00
2019,1,4,5,30,0.00E+00
2019,1,4,6,0,0.00E+00
2019,1,4,6,30,0.00E+00
2019,1,4,7,0,0.00E+00
2019,1,4,7,30,4.63E-01
2019,1,4,8,0,7.25E-01
2019,1,4,8,30,1.34E+00
2019,1,4,9,0,1.73E+00
2019,1,4,9,30,2.08E+00
2019,1,4,10,0,2.34E+00
2019,1,4,10,30,2.53E+00
2019,1,4,11,0,2.66E+00
2019,1,4,11,30,2.74E+00
2019,1,4,12,0,2.76E+00
2019,1,4,12,30,2.71E+00
2019,1,4,13,0,2.61E+00
2019,1,4,13,30,2.46E+00
2019,1,4,14,0,2.28E+00
2019,1,4,14,30,2.01E+00
2019,1,4,15,0,1.68E+00
2019,1,4,15,30,1.29E+00
2019,1,4,16,0,8.67E-01
2019,1,4,16,30,3.97E-01
2019,1,4,17,0,0.00E+00
2019,1,4,17,30,0.00E+00
2019,1,4,18,0,0.00E+00
2019,1,4,18,30,0.00E+00
2019,1,4,19,0,0.00E+00
2019,1,4,19,30,0.00E+00
2019,1,4,20,0,0.00E+00
2019,1,4,20,30,0.00E+00
2019,1,4,21,0,0.00E+00
2019,1,4,21,30,0.00E+00
2019,1,4,22,0,0.00E+00
2019,1,4,22,30,0.00E+00
2019,1,4,23,0,0.00E+00
2019,1,4,23,30,0.00E+00
2019,1,5,0,0,0.00E+00
2019,1,5,0,30,0.00E+00
2019,1,5,1,0,0.00E+00
2019,1,5,1,30,0.00E+00
2019,1,5,2,0,0.00E+00
2019,1,5,2,30,0.00E+00
2019,1,5,3,0,0.00E+00
2019,1,5,3,30,0.00E+00
2019,1,5,4,0,0.00E+00
2019,1,5,4,30,0.00E+00
2019,1,5,5,0,0.00E+00
2019,1,5,5,30,0.00E+00
2019,1,5,6,0,0.00E+00
2019,1,5,6,30,0.00E+00
2019,1,5,7,0,0.00E+00
2019,1,5,7,30,2.13E-02
2019,1,5,8,0,6.51E-02
2019,1,5,8,30,1.47E-01
2019,1,5,9,0,3.16E-01
2019,1,5,9,30,7.25E-01
2019,1,5,10,0,8.10E-01
2019,1,5,10,30,6.95E-01
2019,1,5,11,0,6.44E-01
2019,1,5,11,30,9.09E-01
2019,1,5,12,0,4.44E-01
2019,1,5,12,30,3.45E-01
2019,1,5,13,0,2.30E-01
2019,1,5,13,30,2.63E-01
2019,1,5,14,0,2.85E-01
2019,1,5,14,30,2.20E-01
2019,1,5,15,0,1.14E-01
2019,1,5,15,30,8.43E-02
2019,1,5,16,0,5.44E-02
2019,1,5,16,30,1.44E-02
2019,1,5,17,0,0.00E+00
2019,1,5,17,30,0.00E+00
2019,1,5,18,0,0.00E+00
2019,1,5,18,30,0.00E+00
2019,1,5,19,0,0.00E+00
2019,1,5,19,30,0.00E+00
2019,1,5,20,0,0.00E+00
2019,1,5,20,30,0.00E+00
2019,1,5,21,0,0.00E+00
2019,1,5,21,30,0.00E+00
2019,1,5,22,0,0.00E+00
2019,1,5,22,30,0.00E+00
2019,1,5,23,0,0.00E+00
2019,1,5,23,30,0.00E+00
2019,1,6,0,0,0.00E+00
2019,1,6,0,30,0.00E+00
2019,1,6,1,0,0.00E+00
2019,1,6,1,30,0.00E+00
2019,1,6,2,0,0.00E+00
2019,1,6,2,30,0.00E+00
2019,1,6,3,0,0.00E+00
2019,1,6,3,30,0.00E+00
2019,1,6,4,0,0.00E+00
2019,1,6,4,30,0.00E+00
2019,1,6,5,0,0.00E+00
2019,1,6,5,30,0.00E+00
2019,1,6,6,0,0.00E+00
2019,1,6,6,30,0.00E+00
2019,1,6,7,0,0.00E+00
2019,1,6,7,30,1.24E-01
2019,1,6,8,0,6.56E-01
2019,1,6,8,30,2.51E-01
2019,1,6,9,0,1.01E+00
2019,1,6,9,30,1.96E+00
2019,1,6,10,0,2.32E+00
2019,1,6,10,30,2.40E+00
2019,1,6,11,0,2.52E+00
2019,1,6,11,30,2.74E+00
2019,1,6,12,0,2.36E+00
2019,1,6,12,30,2.53E+00
2019,1,6,13,0,2.02E+00
2019,1,6,13,30,1.16E+00
2019,1,6,14,0,1.33E+00
2019,1,6,14,30,7.21E-01
2019,1,6,15,0,1.55E+00
2019,1,6,15,30,1.28E+00
2019,1,6,16,0,8.20E-01
2019,1,6,16,30,3.79E-01
2019,1,6,17,0,0.00E+00
2019,1,6,17,30,0.00E+00
2019,1,6,18,0,0.00E+00
2019,1,6,18,30,0.00E+00
2019,1,6,19,0,0.00E+00
2019,1,6,19,30,0.00E+00
